Date,AT6,AT1,AT2,AT3,AT4,AT5,SWBC1,SWBC2,SWBC3,SWBC4,SWBC5,SWBC6,SWBC7,SWBC8,SWBC9,SWBC10,SWBC11,SWBC12,SWBC13,SWBC14,SWBC15
8/15/1990,21.77419355,3.202764977,2.09641577,-1.307817033,-0.448028674,1.002588609,2.903038,0.050782,3.36121,3.35274,0.100554,3.846732,2.557889,2.259211,3.451867,3.512334,0.314582,2.796791,2.340234,0.385864,2.284882
8/16/1990,22.42831541,1.833077318,1.80609319,-0.746287762,-1.069626975,1.919056153,2.903038,0.050782,3.36121,3.35274,0.100554,3.846732,2.557889,2.259211,3.451867,3.512334,0.314582,2.796791,2.340234,0.385864,2.284882
8/17/1990,23.28853047,1.979006657,0.866308244,-0.084485405,-0.13739546,0.541616887,2.903038,0.050782,3.361213,3.35274,0.100554,3.846732,2.557902,2.259211,3.451869,3.512334,0.314582,2.796791,2.340235,0.385864,2.284896
8/18/1990,23.36021505,4.669738863,2.949103942,-1.441372249,-0.466945439,1.091696536,2.913223,0.050782,3.428341,3.407738,0.100554,3.877904,2.582381,2.261584,3.496026,3.548464,0.314582,2.814357,2.359147,0.385864,2.300203
8/19/1990,21.3172043,5.920378904,5.972759856,1.43625192,-1.892672243,4.879295803,2.942403,0.050782,3.503832,3.477692,0.100554,3.988753,2.626476,2.266371,3.559503,3.659133,0.314582,2.848677,2.386736,0.385864,2.324802
8/20/1990,16.20071685,0.922939069,1.2562724,-0.743727599,-3.706690561,2.095778574,2.951903,0.050782,3.517255,3.484578,0.100554,4.044955,2.630012,2.266648,3.589901,3.730028,0.314582,2.850218,2.396916,0.385864,2.328636
8/21/1990,16.7562724,0.843573991,0.13405018,-1.801928657,-1.299283154,0.922939069,2.952352,0.050782,3.517462,3.484757,0.100554,4.053831,2.63003,2.266648,3.591157,3.737583,0.314582,2.850218,2.397418,0.385864,2.32868
8/22/1990,17.52688172,1.336405529,0.060215052,-1.586874894,-1.084229392,0.582437275,2.952352,0.050782,3.517462,3.484757,0.100554,4.053831,2.63003,2.266648,3.591157,3.737583,0.314582,2.850218,2.397418,0.385864,2.32868
8/23/1990,18.55734767,0.898617513,-0.098207886,-1.469107356,-1.082570026,0.019335974,2.952519,0.050782,3.517524,3.485974,0.100554,4.056332,2.63021,2.266648,3.591505,3.738472,0.314582,2.850218,2.397571,0.385864,2.328685
8/24/1990,20.95878136,0.958781363,-0.185663082,-2.162911759,-0.800477896,0.198547444,2.96411,0.050782,3.537285,3.592321,0.100554,4.273626,2.67189,2.266656,3.627887,3.872049,0.314582,2.862005,2.434497,0.385864,2.345187
